PC Number,Date,Item,Price,Items Sold,Sold Amount,% Sales,Item Reductions,Item Refunds,Item Net Sales
355673,2020-03-25,100 Munchkins,17.98,23,413.54,0.09,0.0,0.0,413.54
355673,2020-03-25,12 Munchkins,3.0,191,573.0,0.13,2.7,3.0,567.3
355673,2020-03-25,2 Munchkins,0.5,192,96.0,0.02,0.38,0.0,95.62
355673,2020-03-25,25 Munchkins,5.99,1023,6127.77,1.39,7.5,17.97,6102.3
355673,2020-03-25,3 Munchkins,0.75,117,87.75,0.02,0.59,0.75,86.41
355673,2020-03-25,4 Munchkins,1.0,195,195.0,0.04,0.4,1.0,193.6
355673,2020-03-25,5 Munchkins,1.25,395,493.75,0.11,3.34,0.0,490.41
355673,2020-03-25,50 Munchkins,10.49,313,3283.37,0.75,4.72,10.49,3268.16
355673,2020-03-25,6 Munchkins,1.5,219,328.5,0.07,2.22,0.0,326.28
355673,2020-03-25,7 Munchkins,1.75,3,5.25,0.0,0.0,0.0,5.25
355673,2020-03-25,8 Munchkins,2.0,14,28.0,0.01,0.0,0.0,28.0
355673,2020-03-25,9 Munchkins,2.25,2,4.5,0.0,0.0,0.0,4.5
355673,2020-03-25,"Grab&Go Munchkins, Glazed & Glazed Chocolate, 10 Count",2.0,16,32.0,0.01,0.0,0.0,32.0
355673,2020-03-25,"Grab&Go Munchkins, Glazed & Glazed Chocolate, 10 Count",2.5,29,72.5,0.02,0.24,0.0,72.26
355673,2020-03-25,"Grab&Go Munchkins, Glazed Chocolate Cake, 10 Count",2.5,2,5.0,0.0,0.0,0.0,5.0
355673,2020-03-25,"Grab&Go Munchkins, Glazed, 10 Count",2.0,25,50.0,0.01,0.2,0.0,49.8
355673,2020-03-25,"Grab&Go Munchkins, Glazed, 10 Count",2.5,13,32.5,0.01,0.0,2.5,30.0
355673,2020-03-25,"Grab&Go Munchkins, Glazed, 5 Count",1.25,2,2.5,0.0,0.0,0.0,2.5
355673,2020-03-25,"D-Fruit, Banana",0.89,156,138.84,0.03,0.2,0.0,138.64
355673,2020-03-25,z-No Price Cinnamon Raisin Bagel,0.0,403,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Z-No Price Cinnamon Sugar Bagel,0.0,12,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price Everything Bagel,0.0,1739,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price Multigrain Bagel,0.0,305,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price Plain Bagel,0.0,4009,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price Sesame Bagel,0.0,595,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Caramel Swirl,0.0,30821,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Cinnamon Sugar Topping, Item Only",0.0,7,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Coconut Caramel Swirl,0.0,2236,0.0,0.0,0.0,0.0,0.0
